cohort,cohort_label,base_ta_c,base_rh_pct,mean_pmv_delta_open_minus_cellular,pmv_range_delta_open_minus_cellular,spatial_std_delta_open_minus_cellular,worst_ppd_delta_open_minus_cellular,perimeter_core_gap_delta_open_minus_cellular
older_female_light,Older Female Light,23.5,35.0,0.004,0.618,0.077,0.046,0.24
realistic_mixed,Realistic Mixed Office,23.5,55.0,0.006,0.101,0.006,-0.157,0.197
default_male_35,Default Male Baseline,23.5,55.0,0.002,0.405,0.084,2.72,0.16
realistic_male,Realistic Male Office,23.5,55.0,0.002,0.406,0.061,3.413,0.163
female_light,Female Light Office,23.5,55.0,0.006,0.548,0.075,1.835,0.226
older_mixed,Older Mixed Office,23.5,55.0,0.001,0.159,0.027,0.191,0.193
older_male_formal,Older Male Formal,23.5,55.0,0.003,0.43,0.071,4.17,0.172
older_female_light,Older Female Light,23.5,55.0,0.004,0.618,0.079,0.182,0.242
realistic_mixed,Realistic Mixed Office,23.5,75.0,0.007,0.112,0.006,-0.207,0.198
default_male_35,Default Male Baseline,23.5,75.0,0.002,0.407,0.085,2.137,0.161
realistic_male,Realistic Male Office,23.5,75.0,0.002,0.409,0.064,2.84,0.165
female_light,Female Light Office,23.5,75.0,0.005,0.552,0.077,2.923,0.228
older_mixed,Older Mixed Office,23.5,75.0,0.001,0.172,0.028,0.478,0.195
older_male_formal,Older Male Formal,23.5,75.0,0.003,0.433,0.073,3.711,0.174
older_female_light,Older Female Light,23.5,75.0,0.004,0.618,0.081,0.546,0.244
realistic_mixed,Realistic Mixed Office,23.5,80.0,0.006,0.115,0.007,-0.216,0.198
default_male_35,Default Male Baseline,23.5,80.0,0.002,0.408,0.085,1.988,0.162
realistic_male,Realistic Male Office,23.5,80.0,0.002,0.411,0.064,2.686,0.165
female_light,Female Light Office,23.5,80.0,0.006,0.552,0.078,3.213,0.227
older_mixed,Older Mixed Office,23.5,80.0,0.001,0.176,0.028,0.581,0.195
older_male_formal,Older Male Formal,23.5,80.0,0.003,0.433,0.073,3.568,0.175
