Ta,Tr,RH,v,PMV,PPD,Q_conv,Q_rad,E_sk,Q_res,L_total,h_c,Tcl,met,clo,scenario_id,label,description,mechanism_class,dominant_loss,dominant_note
19.0,19.0,50.0,0.1,-2.674729588937161,96.4075300619194,39.986315677771834,40.25403607017152,12.901841025198442,5.937107166973333,99.07929994011512,4.105511573546107,27.854443983853344,1.0,0.5,severe_cold_bulk,Severe cold bulk,Uniform cold room where both air and radiant temperatures are depressed.,bulk cold,radiation,radiative loss
23.0,17.0,50.0,0.1,-2.1510641223046703,83.09237167061434,22.542773813741004,51.243698960428326,11.970105261371916,5.3094778589960505,91.06605589453729,3.826355968803739,28.355982735852706,1.0,0.5,cold_radiant_sink,Cold radiant sink,Moderate air temperature with markedly colder surrounding surfaces.,radiant cold,radiation,radiative loss
20.0,20.0,50.0,0.6,-3.7557406376366504,99.99443419964834,67.45299264297407,29.694550305069377,12.68742412477348,5.786201486017565,115.6211685588345,9.372619697821948,26.54270610227593,1.0,0.5,cold_draft,Cold high-airflow draft,Cool room where elevated air speed pushes the occupant into strong convective heat loss.,convective cold,convection,convective loss
32.0,32.0,50.0,0.1,2.2494875051881413,86.63410837359925,5.087769817068308,6.020286143392222,9.004273790517836,3.6155181211230016,23.727847872101368,3.826355968803739,33.20881341086783,1.0,0.5,severe_hot_bulk,Severe hot bulk,Uniform hot room where both air and radiant temperatures are elevated.,bulk hot,evaporation,evaporative loss
29.0,35.0,50.0,0.1,2.2289844086585417,85.9363952209424,18.172054017956974,-8.507701044316338,10.14708703293142,4.230150754168231,24.041590760740288,3.826355968803739,33.31753467427478,1.0,0.5,hot_radiant_gain,Hot radiant gain,Moderate air temperature with strongly overheated surrounding surfaces causing radiant heat gain.,radiant hot,convection,convective loss
31.0,31.0,80.0,0.05,2.2983253953962923,88.20958832538811,5.8151048747071155,9.369863463557413,5.299420800486621,2.4961306052884584,22.980519744039604,2.791878491995821,32.89355630686953,1.0,0.5,hot_humid_still,Hot humid still air,Hot-humid state with low air movement and suppressed evaporative relief.,humid hot,radiation,radiative loss
