Ta,Tr,RH,v,PMV,PPD,Q_conv,Q_rad,E_sk,Q_res,L_total,h_c,Tcl,met,clo,scenario_id,label,description,dominant_loss
21.5,21.5,50.0,0.1,-1.7113058302416198,62.35607172895866,32.08050404772629,34.36057195698867,12.343187538538285,5.552514329518285,84.33677787277155,3.928558633596503,28.92378061379179,1.0,0.5,cool_bulk,Whole room too cold,Bulk cool proxy: air and radiant temperature both reduced.,radiation
25.5,21.5,50.0,0.1,-0.9187792957195478,22.827590041042612,17.802322516282807,38.246552282538254,11.278646887342163,4.881840998128145,72.20936268429136,3.826355968803739,29.729689427002654,1.0,0.5,cold_radiant_skew,Cold-radiant skew,Whole-body MRT proxy for a cold-wall condition; not a local asymmetry model.,radiation
26.0,26.0,50.0,0.75,-1.03657991017839,27.68497822259428,41.1410185614955,16.94907314623047,11.129187771937033,4.792694093690853,74.01197357335387,10.478907385791707,29.569243875184213,1.0,0.5,draft,Draft / elevated air movement,Cool-side discomfort induced by elevated air speed.,convection
28.0,28.0,50.0,0.1,0.7157060347984602,15.777416833141842,15.009614336506797,17.274062920817894,10.491304883924688,4.42312683829918,47.198108979548564,3.826355968803739,31.566164302688207,1.0,0.5,warm_bulk,Mild warm bulk,Uniform warm-bulk state where multiple levers may recover similar PMV.,radiation
28.5,28.5,70.0,0.05,1.1945708484269124,34.98255403838024,11.961678266507924,16.397920951845787,7.951561588251827,3.5592535645492105,39.870414371154745,3.2251017885314295,31.87183159798326,1.0,0.5,warm_humid_still,Warm humid still air,Warm-humid state with low air movement and evaporative constraint.,radiation
