variable,step,unit,PMV,PPD,Q_conv,Q_rad,E_sk,Q_res,L_total
Ta,0.5,C,0.19213954549752996,-1.7576007039146049,-3.4028128557756574,0.934788833914979,-0.29508584862551324,-0.17705167726516446,-2.9401615477513445
Tr,0.5,C,0.1780728287258527,-1.6283415913134007,0.8872891815417212,-3.612198738100414,0.0,0.0,-2.7249095565586927
RH,5.0,%,0.008596453517524971,-0.07864837001954897,0.0,0.0,-0.09934548375315674,-0.03219933703743703,-0.13154482079059376
v,0.05,m/s,-2.2999460649514094,26.924616356200914,48.370434598804835,-13.17615450117085,0.0,0.0,35.19428009763395
clo,0.05,clo,2.2174470194534432,-20.250666370366446,-15.672002414566357,-18.259859159742682,0.0,0.0,-33.93186157430904
met,0.1,met,3.735040951113009,-54.034082204243816,-4.022529786536122,-4.664799587771853,10.971771075000003,4.8818409981281485,7.1662826988201545
