scenario_id,scenario_label,lever_id,lever_label,baseline_pmv,recovered_pmv,baseline_ppd,recovered_ppd,baseline_load,recovered_load,delta_pmv,delta_load,control_move,normalized_control_move,system_mode,system_thermal_w,system_exergy_w,pmv_per_100w_exergy,load_per_100w_exergy,dominant_pathway
severe_cold_bulk,Severe cold bulk,air_temp,All-air (Ta only),-3.4959918232528606,-0.4997038929217387,99.95574887680822,10.218788347802686,-47.2128467958968,-6.7484263501153094,2.996287930331122,40.46442044578149,13.200000000000003,0.6000000000000001,air heating,796.7520000000002,265.58400000000006,1.1281884188547207,15.236015891688313,convection
severe_cold_bulk,Severe cold bulk,radiant,Radiant (Tr only),-3.4959918232528606,-0.48338382792447904,99.95574887680822,9.880933433918116,-47.2128467958968,-6.52802631276689,3.0126079953283815,40.68482048312991,15.799999999999997,0.718181818181818,radiant heating,891.1199999999999,198.02666666666664,1.5213142987451431,20.545122113080687,radiation
cold_radiant_sink,Cold radiant sink,air_temp,All-air (Ta only),-2.901699911034474,-0.4838329166573923,98.59208442110393,9.890076531102437,-39.187023389507836,-6.534091188949887,2.4178669943770816,32.65293220055795,10.899999999999999,0.49545454545454537,air heating,657.9239999999999,219.30799999999996,1.1024983103111068,14.88907481740655,convection
cold_radiant_sink,Cold radiant sink,radiant,Radiant (Tr only),-2.901699911034474,-0.4961674696488565,98.59208442110393,10.144601780307013,-39.187023389507836,-6.700667482638131,2.4055324413856174,32.486355906869704,12.5,0.5681818181818182,radiant heating,705.0000000000001,156.66666666666669,1.5354462391823087,20.735971855448746,radiation
cold_draft,Cold high-airflow draft,air_temp,All-air (Ta only),-4.736173321550296,-0.49435605184572956,99.99999996627515,10.106811364726056,-63.96131247844583,-6.676204556079334,4.241817269704566,57.28510792236649,11.0,0.5,air heating,663.96,221.32000000000002,1.916599163972784,25.88338510860586,convection
severe_hot_bulk,Severe hot bulk,air_temp,All-air (Ta only),2.071005020955207,0.49093440500230373,79.86477572527953,10.035814469816742,27.968613117897178,6.6299957271187395,-1.5800706159529032,-21.338617390778438,7.100000000000001,0.3227272727272728,air cooling,428.5560000000001,142.85200000000003,1.1060892503800457,14.937569926062242,convection
severe_hot_bulk,Severe hot bulk,radiant,Radiant (Tr only),2.071005020955207,0.4821865227910199,79.86477572527953,9.856599762844652,27.968613117897178,6.511856885979917,-1.588818498164187,-21.45675623191726,7.699999999999999,0.35,radiant cooling,434.28000000000003,78.96000000000001,2.012181481970855,27.174210020158636,radiation
hot_radiant_gain,Hot radiant gain,air_temp,All-air (Ta only),2.05229921950381,0.48949347373188656,79.0683530852383,10.006067383356864,27.715994066489458,6.61053616578306,-1.5628057457719233,-21.105457900706398,6.5,0.29545454545454547,air cooling,392.34,130.78,1.1949883359626268,16.138138783228626,convection
hot_radiant_gain,Hot radiant gain,radiant,Radiant (Tr only),2.05229921950381,0.4980438481343035,79.0683530852383,10.183896885168451,27.715994066489458,6.726007693497692,-1.5542553713695064,-20.989986372991766,7.300000000000001,0.33181818181818185,radiant cooling,411.7200000000001,74.85818181818183,2.076266526409279,28.039668962269182,radiation
hot_humid_still,Hot humid still air,air_temp,All-air (Ta only),2.1195645721734118,0.4822295840971579,81.85832082232304,9.857473855629422,28.624402595691038,6.512438422480088,-1.6373349880762538,-22.11196417321095,6.399999999999999,0.29090909090909084,air cooling,386.3039999999999,128.76799999999997,1.2715387270721408,17.171940368112384,convection
hot_humid_still,Hot humid still air,radiant,Radiant (Tr only),2.1195645721734118,0.4855295764298718,81.85832082232304,9.924697758455196,28.624402595691038,6.557004325465265,-1.6340349957435398,-22.067398270225773,7.600000000000001,0.3454545454545455,radiant cooling,428.6400000000001,77.93454545454547,2.0966761096933246,28.31529733254986,radiation
