condition_id,condition_label,Ta,Tr,RH,v,PMV
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,21.272727272727273,30.0,0.05,-3.38679884982107
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,21.681818181818183,30.0,0.05,-3.3125551882989996
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,22.09090909090909,30.0,0.05,-3.238049510463516
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,22.5,30.0,0.05,-3.1632812566552224
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,22.90909090909091,30.0,0.05,-3.088249867778725
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,23.31818181818182,30.0,0.05,-3.012954785299264
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,23.727272727272727,30.0,0.05,-2.937395451241202
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,24.136363636363637,30.0,0.05,-2.861571308184644
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,24.545454545454547,30.0,0.05,-2.7854817992639025
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,24.954545454545453,30.0,0.05,-2.7091263681651303
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,25.363636363636363,30.0,0.05,-2.632504459124328
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,25.772727272727273,30.0,0.05,-2.5556155169258803
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,26.18181818181818,30.0,0.05,-2.478458986900482
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,26.590909090909093,30.0,0.05,-2.401034314923729
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,27.0,30.0,0.05,-2.3233409474148723
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,27.40909090909091,30.0,0.05,-2.245378331335422
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,27.81818181818182,30.0,0.05,-2.167145914187951
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,28.227272727272727,30.0,0.05,-2.088643144014886
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,28.636363636363637,30.0,0.05,-2.0098694693979575
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,29.045454545454547,30.0,0.05,-1.9308243394572222
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,29.454545454545453,30.0,0.05,-1.8515072038500895
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,29.863636363636367,30.0,0.05,-1.7719175127711102
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,30.272727272727273,30.0,0.05,-1.692054716951125
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,30.681818181818183,30.0,0.05,-1.6119182676570967
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,31.090909090909093,30.0,0.05,-1.5315076166917463
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,31.5,30.0,0.05,-1.4508222163933144
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,31.90909090909091,30.0,0.05,-1.3698615196353656
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,32.31818181818182,30.0,0.05,-1.2886249798271192
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,32.72727272727273,30.0,0.05,-1.2071120509130502
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,33.13636363636364,30.0,0.05,-1.1253221873732338
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,33.54545454545455,30.0,0.05,-1.0432548442237066
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,33.95454545454545,30.0,0.05,-0.9609094770166934
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,34.36363636363636,30.0,0.05,-0.8782855418409532
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,34.77272727272727,30.0,0.05,-0.7953824953223477
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,35.18181818181819,30.0,0.05,-0.7121997946243583
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,35.59090909090909,30.0,0.05,-0.6287368974489523
dry_still,"RH 30%, v 0.05 m/s",18.318181818181817,36.0,30.0,0.05,-0.5449932620368404
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,18.0,30.0,0.05,-3.8918505809412838
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,18.40909090909091,30.0,0.05,-3.819579139732331
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,18.818181818181817,30.0,0.05,-3.7470506576835825
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,19.227272727272727,30.0,0.05,-3.6742645660822983
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,19.636363636363637,30.0,0.05,-3.60122029688807
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,20.045454545454547,30.0,0.05,-3.5279172827265666
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,20.454545454545453,30.0,0.05,-3.454354956884092
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,20.863636363636363,30.0,0.05,-3.380532753301833
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,21.272727272727273,30.0,0.05,-3.306450106570865
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,21.681818181818183,30.0,0.05,-3.2321064519269505
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,22.09090909090909,30.0,0.05,-3.1575012252458605
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,22.5,30.0,0.05,-3.082633863038571
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,22.90909090909091,30.0,0.05,-3.0075038024472005
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,23.31818181818182,30.0,0.05,-2.9321104812405685
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,23.727272727272727,30.0,0.05,-2.8564533378103856
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,24.136363636363637,30.0,0.05,-2.780531811167398
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,24.545454545454547,30.0,0.05,-2.704345340937852
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,24.954545454545453,30.0,0.05,-2.6278933673599476
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,25.363636363636363,30.0,0.05,-2.551175331280856
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,25.772727272727273,30.0,0.05,-2.4741906741531903
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,26.18181818181818,30.0,0.05,-2.396938838032911
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,26.590909090909093,30.0,0.05,-2.3194192655756596
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,27.0,30.0,0.05,-2.2416314000348083
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,27.40909090909091,30.0,0.05,-2.1635746852588995
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,27.81818181818182,30.0,0.05,-2.085248565689282
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,28.227272727272727,30.0,0.05,-2.0066524863579684
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,28.636363636363637,30.0,0.05,-1.9277858928859397
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,29.045454545454547,30.0,0.05,-1.8486482314807808
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,29.454545454545453,30.0,0.05,-1.7692389489355802
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,29.863636363636367,30.0,0.05,-1.6895574926268762
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,30.272727272727273,30.0,0.05,-1.609603310513524
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,30.681818181818183,30.0,0.05,-1.5293758511350022
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,31.090909090909093,30.0,0.05,-1.4488745636108114
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,31.5,30.0,0.05,-1.3680988976386068
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,31.90909090909091,30.0,0.05,-1.2870483034940823
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,32.31818181818182,30.0,0.05,-1.2057222320293282
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,32.72727272727273,30.0,0.05,-1.1241201346727119
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,33.13636363636364,30.0,0.05,-1.042241463427724
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,33.54545454545455,30.0,0.05,-0.9600856708729475
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,33.95454545454545,30.0,0.05,-0.8776522101612719
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,34.36363636363636,30.0,0.05,-0.7949405350196633
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,34.77272727272727,30.0,0.05,-0.7119500997490603
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,35.18181818181819,30.0,0.05,-0.6286803592239673
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,35.59090909090909,30.0,0.05,-0.5451307688926286
dry_still,"RH 30%, v 0.05 m/s",18.636363636363637,36.0,30.0,0.05,-0.46130078477715364
