PMV,PPD
-3.0,99.11587171526925
-2.99,99.07139252936294
-2.98,99.02506892509112
-2.97,98.97684472424179
-2.96,98.92666295945759
-2.95,98.87446590170309
-2.94,98.82019508939683
-2.93,98.76379135920104
-2.92,98.70519487845795
-2.91,98.64434517925923
-2.9,98.58118119413082
-2.89,98.51564129331253
-2.88,98.44766332360828
-2.87,98.37718464877965
-2.86,98.30414219145155
-2.85,98.22847247649618
-2.84,98.1501116758576
-2.83,98.06899565477615
-2.82,97.98506001936887
-2.81,97.8982401655189
-2.8,97.80847132902322
-2.79,97.71568863694627
-2.78,97.61982716012268
-2.77,97.52082196675056
-2.76,97.41860817701351
-2.75,97.31312101866727
-2.74,97.20429588352398
-2.73,97.09206838476507
-2.7199999999999998,96.9763744150114
-2.71,96.85715020507695
-2.7,96.7343323833307
-2.69,96.60785803558942
-2.68,96.47766476546224
-2.67,96.34369075506652
-2.66,96.20587482603325
-2.65,96.06415650071871
-2.64,95.91847606353852
-2.63,95.76877462233884
-2.62,95.61499416971944
-2.61,95.45707764422207
-2.6,95.29496899129798
-2.59,95.12861322396768
-2.58,94.9579564830866
-2.57,94.78294609712982
-2.56,94.60353064141012
-2.55,94.41965999664369
-2.54,94.2312854067787
-2.5300000000000002,94.03835953600282
-2.52,93.84083652484671
-2.51,93.6386720453022
-2.5,93.43182335487431
-2.49,93.220249349489
-2.48,93.00391061517921
-2.4699999999999998,92.78276947847435
-2.46,92.55679005541975
-2.45,92.32593829915525
-2.44,92.09018204598416
-2.43,91.84949105986624
-2.42,91.60383707527048
-2.41,91.3531938383272
-2.4,91.09753714622029
-2.39,90.8368448847643
-2.38,90.57109706411376
-2.37,90.30027585255486
-2.36,90.02436560833314
-2.35,89.74335290947378
-2.34,89.45722658155431
-2.33,89.16597772339304
-2.32,88.86959973061971
-2.31,88.56808831709844
-2.3,88.26144153417609
-2.29,87.94965978773327
-2.2800000000000002,87.63274585301798
-2.27,87.31070488724588
-2.26,86.98354443995457
-2.25,86.65127446110246
-2.24,86.3139073069067
-2.23,85.97145774341784
-2.2199999999999998,85.62394294783253
-2.21,85.2713825075485
-2.2,84.91379841697014
-2.19,84.55121507207579
-2.18,84.18365926276115
-2.17,83.81116016297672
-2.16,83.43374931868
-2.15,83.05146063362643
-2.14,82.66433035302609
-2.13,82.27239704509574
-2.12,81.87570158053938
-2.11,81.47428710999198
-2.1,81.0681990394653
-2.09,80.65748500383577
-2.08,80.24219483841784
-2.07,79.82238054866784
-2.06,79.3980962780666
-2.05,78.96939827422986
-2.04,78.53634485329877
-2.0300000000000002,78.09899636266387
-2.02,77.65741514207808
-2.01,77.21166548321594
-2.0,76.76181358773741
-1.99,76.3079275239165
-1.98,75.85007718189627
-1.97,75.38833422763236
-1.96,74.92277205558884
-1.95,74.45346574025109
-1.94,73.98049198652062
-1.93,73.50392907905835
-1.92,73.02385683064261
