met,Ta,Tr,RH,v,thermal_load,PMV,PPD,pmv_factor
0.8,18.0,18.0,30.0,0.05,-60.9435873977907,-5.166204470247387,99.999999999988,0.08477027183395952
0.8,18.0,18.0,30.0,0.1,-60.9435873977907,-5.166204470247387,99.999999999988,0.08477027183395952
0.8,18.0,18.0,30.0,0.2,-68.0105733415908,-5.765274789750093,100.0,0.08477027183395952
0.8,18.0,18.0,50.0,0.05,-59.36136943008268,-5.032079423024204,99.99999999982444,0.08477027183395952
0.8,18.0,18.0,50.0,0.1,-59.36136943008268,-5.032079423024204,99.99999999982444,0.08477027183395952
0.8,18.0,18.0,50.0,0.2,-66.4283553738828,-5.63114974252691,100.0,0.08477027183395952
0.8,18.0,18.0,70.0,0.05,-57.77915146237468,-4.897954375801021,99.99999999787747,0.08477027183395952
0.8,18.0,18.0,70.0,0.1,-57.77915146237468,-4.897954375801021,99.99999999787747,0.08477027183395952
0.8,18.0,18.0,70.0,0.2,-64.84613740617479,-5.497024695303728,100.0,0.08477027183395952
0.8,18.0,22.0,30.0,0.05,-51.284136313863776,-4.347370176096067,99.9999902781152,0.08477027183395952
0.8,18.0,22.0,30.0,0.1,-51.284136313863776,-4.347370176096067,99.9999902781152,0.08477027183395952
0.8,18.0,22.0,30.0,0.2,-58.39593314525634,-4.950239126721107,99.99999999917868,0.08477027183395952
0.8,18.0,22.0,50.0,0.05,-49.70191834615576,-4.213245128872884,99.9999488073151,0.08477027183395952
0.8,18.0,22.0,50.0,0.1,-49.70191834615576,-4.213245128872884,99.9999488073151,0.08477027183395952
0.8,18.0,22.0,50.0,0.2,-56.813715177548325,-4.816114079497924,99.99999999112158,0.08477027183395952
0.8,18.0,22.0,70.0,0.05,-48.11970037844775,-4.079120081649701,99.9997647937864,0.08477027183395952
0.8,18.0,22.0,70.0,0.1,-48.11970037844775,-4.079120081649701,99.9997647937864,0.08477027183395952
0.8,18.0,22.0,70.0,0.2,-55.23149720984032,-4.681989032274741,99.99999991949318,0.08477027183395952
0.8,18.0,26.0,30.0,0.05,-41.28517068783122,-3.49975514191887,99.95694222159979,0.08477027183395952
0.8,18.0,26.0,30.0,0.1,-41.28517068783122,-3.49975514191887,99.95694222159979,0.08477027183395952
0.8,18.0,26.0,30.0,0.2,-48.39769871806555,-4.1026860764684905,99.99981835446782,0.08477027183395952
0.8,18.0,26.0,50.0,0.05,-39.7029527201232,-3.3656300946956863,99.89102774937054,0.08477027183395952
0.8,18.0,26.0,50.0,0.1,-39.7029527201232,-3.3656300946956863,99.89102774937054,0.08477027183395952
0.8,18.0,26.0,50.0,0.2,-46.81548075035753,-3.968561029245307,99.99924960958673,0.08477027183395952
0.8,18.0,26.0,70.0,0.05,-38.120734752415196,-3.2315050474725036,99.74790881118972,0.08477027183395952
0.8,18.0,26.0,70.0,0.1,-38.120734752415196,-3.2315050474725036,99.74790881118972,0.08477027183395952
0.8,18.0,26.0,70.0,0.2,-45.233262782649525,-3.8344359820221245,99.9972557320535,0.08477027183395952
0.8,18.0,30.0,30.0,0.05,-30.93971583384033,-2.6227681217001066,95.65797405206156,0.08477027183395952
0.8,18.0,30.0,30.0,0.1,-30.93971583384033,-2.6227681217001066,95.65797405206156,0.08477027183395952
0.8,18.0,30.0,30.0,0.2,-37.98633992904785,-3.220112361762577,99.73035742270903,0.08477027183395952
0.8,18.0,30.0,50.0,0.05,-29.357497866132313,-2.4886430744769226,93.19117405291232,0.08477027183395952
0.8,18.0,30.0,50.0,0.1,-29.357497866132313,-2.4886430744769226,93.19117405291232,0.08477027183395952
0.8,18.0,30.0,50.0,0.2,-36.40412196133983,-3.085987314539393,99.43005178767204,0.08477027183395952
0.8,18.0,30.0,70.0,0.05,-27.775279898424294,-2.354518027253739,89.8709478596613,0.08477027183395952
0.8,18.0,30.0,70.0,0.1,-27.775279898424294,-2.354518027253739,89.8709478596613,0.08477027183395952
0.8,18.0,30.0,70.0,0.2,-34.82190399363183,-2.9518622673162107,98.88434176280963,0.08477027183395952
0.8,18.0,34.0,30.0,0.05,-20.240856612251044,-1.715822917172718,62.59702793344695,0.08477027183395952
0.8,18.0,34.0,30.0,0.1,-20.240856612251044,-1.715822917172718,62.59702793344695,0.08477027183395952
0.8,18.0,34.0,30.0,0.2,-27.194663204595734,-2.305298992286557,88.42457308404828,0.08477027183395952
0.8,18.0,34.0,50.0,0.05,-18.658638644543025,-1.5816978699495343,55.348737792583236,0.08477027183395952
0.8,18.0,34.0,50.0,0.1,-18.658638644543025,-1.5816978699495343,55.348737792583236,0.08477027183395952
0.8,18.0,34.0,50.0,0.2,-25.612445236887716,-2.1711739450633734,83.85514460147371,0.08477027183395952
0.8,18.0,34.0,70.0,0.05,-17.07642067683502,-1.4475728227263518,48.06229706251828,0.08477027183395952
0.8,18.0,34.0,70.0,0.1,-17.07642067683502,-1.4475728227263518,48.06229706251828,0.08477027183395952
0.8,18.0,34.0,70.0,0.2,-24.03022726917971,-2.037048897840191,78.407722814979,0.08477027183395952
0.8,20.0,18.0,30.0,0.05,-54.2517108870425,-4.598932279351974,99.99999971009802,0.08477027183395952
0.8,20.0,18.0,30.0,0.1,-54.2517108870425,-4.598932279351974,99.99999971009802,0.08477027183395952
0.8,20.0,18.0,30.0,0.2,-61.054049840349855,-5.17556840153057,99.99999999999012,0.08477027183395952
0.8,20.0,18.0,50.0,0.05,-52.4592364704775,-4.4469837358043405,99.99999742084528,0.08477027183395952
0.8,20.0,18.0,50.0,0.1,-52.4592364704775,-4.4469837358043405,99.99999742084528,0.08477027183395952
0.8,20.0,18.0,50.0,0.2,-59.261575423784855,-5.023619857982937,99.9999999997934,0.08477027183395952
0.8,20.0,18.0,70.0,0.05,-50.666762053912514,-4.295035192256709,99.99998109690662,0.08477027183395952
0.8,20.0,18.0,70.0,0.1,-50.666762053912514,-4.295035192256709,99.99998109690662,0.08477027183395952
0.8,20.0,18.0,70.0,0.2,-57.46910100721987,-4.871671314435305,99.99999999661469,0.08477027183395952
0.8,20.0,22.0,30.0,0.05,-44.50485124411413,-3.772688337893486,99.995204856739,0.08477027183395952
0.8,20.0,22.0,30.0,0.1,-44.50485124411413,-3.772688337893486,99.995204856739,0.08477027183395952
0.8,20.0,22.0,30.0,0.2,-51.429432227832045,-4.359686950219521,99.99999171285849,0.08477027183395952
0.8,20.0,22.0,50.0,0.05,-42.71237682754913,-3.620739794345853,99.98284381731344,0.08477027183395952
0.8,20.0,22.0,50.0,0.1,-42.71237682754913,-3.620739794345853,99.98284381731344,0.08477027183395952
0.8,20.0,22.0,50.0,0.2,-49.636957811267045,-4.207738406671888,99.9999453564722,0.08477027183395952
0.8,20.0,22.0,70.0,0.05,-40.91990241098414,-3.4687912507982213,99.9462024166553,0.08477027183395952
0.8,20.0,22.0,70.0,0.1,-40.91990241098414,-3.4687912507982213,99.9462024166553,0.08477027183395952
0.8,20.0,22.0,70.0,0.2,-47.84448339470206,-4.055789863124256,99.99969740909731,0.08477027183395952
0.8,20.0,26.0,30.0,0.05,-34.42241063069361,-2.9179971063440755,98.69318973213062,0.08477027183395952
0.8,20.0,26.0,30.0,0.1,-34.42241063069361,-2.9179971063440755,98.69318973213062,0.08477027183395952
0.8,20.0,26.0,30.0,0.2,-41.44189814385438,-3.5130409709697985,99.96092737099654,0.08477027183395952
0.8,20.0,26.0,50.0,0.05,-32.62993621412861,-2.7660485627964424,97.48081986782506,0.08477027183395952
0.8,20.0,26.0,50.0,0.1,-32.62993621412861,-2.7660485627964424,97.48081986782506,0.08477027183395952
0.8,20.0,26.0,50.0,0.2,-39.64942372728938,-3.3610924274221654,99.88773080859848,0.08477027183395952
0.8,20.0,26.0,70.0,0.05,-30.837461797563627,-2.6141000192488106,95.52232759913552,0.08477027183395952
0.8,20.0,26.0,70.0,0.1,-30.837461797563627,-2.6141000192488106,95.52232759913552,0.08477027183395952
0.8,20.0,26.0,70.0,0.2,-37.856949310724396,-3.2091438838745336,99.71246850234019,0.08477027183395952
0.8,20.0,30.0,30.0,0.05,-23.997081127183073,-2.0342390903728886,78.28491283609013,0.08477027183395952
