profile_id,profile_label,family_id,family_label,start_label,target_label,transition_label,baseline_Ta,baseline_Tr,baseline_RH,baseline_v,baseline_pmv,baseline_ppd,after_Ta,after_Tr,after_pmv,after_ppd,delta_ta,abs_delta_ta,load_change,load_change_w,ppd_improvement,theoretical_step_load_wm2,theoretical_step_load_w,dQ_conv_w,dQ_rad_w,dE_sk_w,dQ_res_w
smaller_female,"Smaller female, lower-met",neutral_still,Neutral still bulk,-3,-2,-3→-2,22.513802018098698,22.513802018098698,50.0,0.1,-2.9999994308260156,99.11586923506223,26.32506834958981,22.513802018098698,-2.0000004340329287,76.76183320083432,3.8112663314911117,3.8112663314911117,11.796576502099654,18.440107249077627,22.354036034227917,11.796588336518623,18.440125748339256,-21.325958063386484,5.369109252070253,-1.6638296418830372,-0.8194287958783883
smaller_female,"Smaller female, lower-met",neutral_still,Neutral still bulk,-2,-1,-2→-1,24.493884314038233,24.493884314038233,50.0,0.1,-2.000000043385232,76.7618155482313,28.40815419902305,24.493884314038233,-1.0000003548450143,26.11966502464776,3.914269884984815,3.914269884984815,11.796584662355784,18.440120004981697,50.64215052358354,11.796588336518623,18.440125748339256,-20.959076253635285,5.309068202358944,-1.8991738976141264,-0.8909380560912377
smaller_female,"Smaller female, lower-met",neutral_still,Neutral still bulk,-1,0,-1→0,26.521169169393474,26.521169169393474,50.0,0.1,-1.0000005348598495,26.119672604335463,30.381234881873116,26.521169169393474,-3.6604788503964514e-07,5.000000000002771,3.860065712479642,3.860065712479642,11.796590327923873,18.440128861253108,21.119672604332692,11.796588336518623,18.440125748339256,-20.687505737149483,5.252717974387998,-2.074468835089812,-0.9308722634018194
smaller_female,"Smaller female, lower-met",neutral_still,Neutral still bulk,1,0,+1→0,30.48124814081288,30.48124814081288,50.0,0.1,0.9999991727320702,26.1196152507419,26.618112934854082,30.48124814081288,2.9546728020431564e-07,5.000000000001805,-3.8631352059587982,3.8631352059587982,-11.796575092073539,-18.440105044960802,21.119615250740097,-11.796588336518623,-18.440125748339256,20.71067181297225,-5.291391321623102,2.0865160515622847,0.9343085020493733
smaller_female,"Smaller female, lower-met",neutral_still,Neutral still bulk,2,1,+2→+1,32.41763617567166,32.41763617567166,50.0,0.1,1.9999999119775451,76.76180961017435,28.603779825275552,32.41763617567166,1.0000002880188215,26.119662210870686,-3.813856350396108,3.813856350396108,-11.796583900514488,-18.44011881409083,50.64214739930367,-11.796588336518623,-18.440125748339256,20.448793203544888,-5.259776078630138,2.273362371982234,0.9777393171938629
smaller_female,"Smaller female, lower-met",neutral_still,Neutral still bulk,3,2,+3→+2,34.32139425335044,34.32139425335044,50.0,0.1,2.9999996108660865,99.1158700195974,30.558649036353955,34.32139425335044,1.9999998860472405,76.7618084384344,-3.7627452169964855,3.7627452169964855,-11.79658509031983,-18.440120673964167,22.354061581162995,-11.796588336518623,-18.440125748339256,20.175599282373657,-5.226169903285976,2.467751827179315,1.0229394676971761
smaller_female,"Smaller female, lower-met",humid_still,Humid still bulk,-3,-2,-3→-2,22.016672505166582,22.016672505166582,80.0,0.05,-2.9999999246891127,99.11587138709824,25.259470356729082,22.016672505166582,-1.9999998468255427,76.76180666608224,3.2427978515625,3.2427978515625,11.796589255043102,18.440127184153276,22.354064721016,11.796588336518623,18.440125748339256,-20.539565276597642,5.166132650582902,-2.1730919618081295,-0.89360259633039
smaller_female,"Smaller female, lower-met",humid_still,Humid still bulk,-2,-1,-2→-1,23.884080416692758,23.884080416692758,80.0,0.05,-2.0000004887179132,76.76183567194099,27.189004473791336,23.884080416692758,-0.9999990982977426,26.1196121166208,3.304924057098578,3.304924057098578,11.796604738732988,18.44015138786204,50.642223555320186,11.796588336518623,18.440125748339256,-20.108959660222688,5.085604565141999,-2.4460841997762603,-0.9707120930050701
smaller_female,"Smaller female, lower-met",humid_still,Humid still bulk,-1,0,-1→0,25.746693582477455,25.746693582477455,80.0,0.05,-0.9999993551693761,26.119622932421763,29.13395027359406,25.746693582477455,8.652726690407762e-07,5.00000000001549,3.3872566911166047,3.3872566911166047,11.796590936982682,18.44012981331829,21.119622932406273,11.796588336518623,18.440125748339256,-19.570672127938852,4.958041463769355,-2.765566041889633,-1.0619331072591578
smaller_female,"Smaller female, lower-met",humid_still,Humid still bulk,1,0,+1→0,29.466739876236854,29.466739876236854,80.0,0.05,1.0000004972219143,26.11967101955601,26.143796993400862,29.466739876236854,-2.894889612067528e-07,5.000000000001734,-3.322942882835992,3.322942882835992,-11.796597617022961,-18.44014025538673,21.119671019554275,-11.796588336518623,-18.440125748339256,19.62387009968394,-5.002686805239868,2.7639821125962634,1.0549748483463848
smaller_female,"Smaller female, lower-met",humid_still,Humid still bulk,2,1,+2→+1,31.340714877019668,31.340714877019668,80.0,0.05,1.9999990699172132,76.76177155909456,27.91260010254885,31.340714877019668,1.000000353793822,26.11966498038636,-3.428114774470817,3.428114774470817,-11.796573191154796,-18.44010207349315,50.642106578708194,-11.796588336518623,-18.440125748339256,19.063598029226235,-4.910435856004057,3.127103482580532,1.1598364176904346
smaller_female,"Smaller female, lower-met",humid_still,Humid still bulk,3,2,+3→+2,33.288426217669716,33.288426217669716,80.0,0.05,3.000000301814341,99.11587303043953,29.617234958197642,33.288426217669716,1.9999994412025532,76.76178833676538,-3.6711912594720744,3.6711912594720744,-11.796598488801603,-18.440141618128848,22.354084693674153,-11.796588336518623,-18.440125748339256,18.117209366823428,-4.671057856478989,3.6689186975314385,1.3250714102529693
smaller_female,"Smaller female, lower-met",moving_air,Moving-air bulk,-3,-2,-3→-2,23.591100046773235,23.591100046773235,50.0,0.2,-3.0000006214057056,99.11587442307224,26.6934589393631,23.591100046773235,-2.000000868479514,76.76185283261596,3.1023588925898657,3.1023588925898657,11.796585421890612,18.44012119226715,22.354021590456284,11.796588336518623,18.440125748339256,-21.861682023502546,5.507715032746795,-1.405801358087892,-0.6803528434235275
smaller_female,"Smaller female, lower-met",moving_air,Moving-air bulk,-2,-1,-2→-1,25.434851025292772,25.434851025292772,50.0,0.2,-2.000000980397413,76.76185788996314,28.511874823866478,25.434851025292772,-1.000000621250721,26.119676241901814,3.0770237985737054,3.0770237985737054,11.796592573224302,18.440132371049422,50.642181648061324,11.796588336518623,18.440125748339256,-21.69287819856902,5.496206141360524,-1.5327658847477004,-0.7106944290932065
smaller_female,"Smaller female, lower-met",moving_air,Moving-air bulk,-1,0,-1→0,27.257261104239724,27.257261104239724,50.0,0.2,-1.00000039118088,26.11966655460219,30.307374392339366,27.257261104239724,3.354625323183575e-07,5.000000000002331,3.0501132880996416,3.0501132880996416,11.796596908431823,18.440139147735152,21.11966655459986,11.796588336518623,18.440125748339256,-21.512761888514,5.481217882381362,-1.666074535090349,-0.7425206065121603
smaller_female,"Smaller female, lower-met",moving_air,Moving-air bulk,1,0,+1→0,30.83740356689942,30.83740356689942,50.0,0.2,1.0000005130541787,26.11967168618787,27.792654400598067,30.83740356689942,-6.338430394149853e-07,5.000000000008328,-3.0447491663013544,3.0447491663013544,-11.796601865992969,-18.44014689726818,21.119671686179544,-11.796588336518623,-18.440125748339256,21.485101742510984,-5.506411636237052,1.7084854769603304,0.7529713140339132
smaller_female,"Smaller female, lower-met",moving_air,Moving-air bulk,2,1,+2→+1,32.592899116103304,32.592899116103304,50.0,0.2,2.0000001332998,76.76181961129478,29.580306853942258,32.592899116103304,1.0000007809614837,26.1196829666697,-3.0125922621610464,3.0125922621610464,-11.796580696320358,-18.440113805376367,50.64213664462508,-11.796588336518623,-18.440125748339256,21.278772454226733,-5.471417319443086,1.8471155058852915,0.7856431647074285
smaller_female,"Smaller female, lower-met",moving_air,Moving-air bulk,3,2,+3→+2,34.3271565102862,34.3271565102862,50.0,0.2,2.999999528776859,99.11586966188885,31.342658461454157,34.3271565102862,1.999999790245985,76.76180410936206,-2.9844980488320445,2.9844980488320445,-11.79658525207498,-18.440120926815695,22.35406555252679,-11.796588336518623,-18.440125748339256,21.08262312205342,-5.458351505058226,1.994778509982524,0.8210707998379774
smaller_female,"Smaller female, lower-met",radiant_bias,Radiant-biased bulk,-3,-2,-3→-2,24.34885395791583,20.34885395791583,50.0,0.1,-3.0000002312216476,99.11587272282867,28.261683278666705,20.34885395791583,-1.9999997197849826,76.76180092536623,3.912829320750877,3.912829320750877,11.79659436972642,18.440135179295673,22.35407179746244,11.796588336518623,18.440125748339256,-20.94303396611397,5.274080409961215,-1.884257837797037,-0.8869237853458793
smaller_female,"Smaller female, lower-met",radiant_bias,Radiant-biased bulk,-2,-1,-2→-1,26.414965551219623,22.414965551219623,50.0,0.1,-2.000000782496199,76.76184894720066,30.278400428787258,22.414965551219623,-0.999999936243727,26.119647399066096,3.8634348775676344,3.8634348775676344,11.796598319410663,18.440141353341257,50.642201548134565,11.796588336518623,18.440125748339256,-20.685054587926672,5.239051989518558,-2.065300708855588,-0.9288380460775567
smaller_female,"Smaller female, lower-met",radiant_bias,Radiant-biased bulk,-1,0,-1→0,28.44911716744035,24.44911716744035,50.0,0.1,-1.0000000140020957,26.119650673151256,32.2562030799881,24.44911716744035,-5.183586582132391e-07,5.0000000000055564,3.8070859125477483,3.8070859125477483,11.79658238683188,18.44011644794082,21.1196506731457,11.796588336518623,18.440125748339256,-20.399378295684258,5.1821108790503985,-2.2514743681767904,-0.9713746631301783
smaller_female,"Smaller female, lower-met",radiant_bias,Radiant-biased bulk,1,0,+1→0,28.51121126530404,32.51121126530404,50.0,0.1,0.9999992215362347,26.11961730568315,24.77200739369364,32.51121126530404,4.1662322387680867e-07,5.000000000003595,-3.7392038716103997,3.7392038716103997,-11.796574238569384,-18.440103710784896,21.119617305679554,-11.796588336518623,-18.440125748339256,21.18031758547757,-5.427783517629574,1.8318984137024046,0.8556712292344972
smaller_female,"Smaller female, lower-met",radiant_bias,Radiant-biased bulk,2,1,+2→+1,30.440390057458664,34.440390057458664,50.0,0.1,2.0000005297918317,76.76183752799034,26.5705422074618,34.440390057458664,0.9999990766979197,26.1196112071418,-3.869847849996866,3.869847849996866,-11.796605478069317,-18.440152543573717,50.642226320848536,-11.796588336518623,-18.440125748339256,20.75433262214818,-5.334372746131484,2.0854715943866875,0.9347210731703353
smaller_female,"Smaller female, lower-met",radiant_bias,Radiant-biased bulk,3,2,+3→+2,32.343570197034694,36.343570197034694,50.0,0.1,3.0000004263030338,99.11587357290442,28.521806797188127,36.343570197034694,1.999999513695969,76.76179161260285,-3.821763399846567,3.821763399846567,-11.796599102168482,-18.440142576928295,22.35408196030157,-11.796588336518623,-18.440125748339256,20.498269544575578,-5.304831164409455,2.2692310968851377,0.9774730998770318
reference_office,Reference office,neutral_still,Neutral still bulk,-3,-2,-3→-2,20.138797492445825,20.138797492445825,50.0,0.1,-2.9999991451335144,99.11586799013924,24.44152954346192,20.138797492445825,-1.9999994797938683,76.76179008063241,4.302732051016097,4.302732051016097,13.504845944319001,24.43982506690979,22.354077909506827,13.504850463857036,24.439833245953036,-29.311013299458928,7.952833930372734,-1.944040023472084,-1.1376056743515512
reference_office,Reference office,neutral_still,Neutral still bulk,-2,-1,-2→-1,22.431482227149615,22.431482227149615,50.0,0.1,-2.0000002878995677,76.76182659735514,27.003413565412067,22.431482227149615,-1.0000005592445034,26.119673631073496,4.571931338262452,4.571931338262452,13.504846799384254,24.439826614328055,50.64215296628164,13.504850463857036,24.439833245953036,-28.62006821623105,7.81993782248928,-2.3484331394634346,-1.2912630811228398
reference_office,Reference office,neutral_still,Neutral still bulk,-1,0,-1→0,24.822043990324403,24.822043990324403,50.0,0.1,-0.9999996266274019,26.119634362398045,29.38713853488227,24.822043990324403,2.8548607214892686e-07,5.000000000001691,4.565094544557866,4.565094544557866,13.504849276962645,24.439831098020996,21.119634362396354,13.504850463857036,24.439833245953036,-28.12967232601529,7.722353594819907,-2.6532420539289667,-1.3792703128966712
