scenario_id,time_min,agent_id,room_id,room_name,x,y,activity,clo,duration_mins,pmv,ppd,met,air_temp,mean_radiant_temp,humidity,air_velocity,lux,noise_db,position_error,environment_error,computed_error
young_mixed_t20p0_rh80,0.0,resident_06,room_5,Powder Room,15,5,standing,0.45,0.0,-2.41,91.4,0.98,20.0,20.0,80.0,0.1,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_07,room_6,Study,25,5,seated,0.55,0.0,-3.5,100.0,0.81,20.0,20.0,80.0,0.12,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_08,room_11,Family Lounge West,12,10,seated,0.55,0.0,-3.39,99.9,0.82,20.0,20.0,80.0,0.12,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_09,room_12,Family Lounge East,19,10,seated,0.55,0.0,-3.38,99.9,0.79,20.0,21.5,80.0,0.12,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_10,room_8,Entry Closet,2,8,standing,0.45,0.0,-2.48,93.0,0.98,20.0,20.0,80.0,0.1,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_11,room_9,Service Vestibule,3,11,standing,0.45,0.0,-2.33,89.3,0.96,20.0,21.5,80.0,0.1,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_12,room_14,Guest Room,8,10,seated,0.55,0.0,-3.24,99.8,0.8,20.0,21.5,80.0,0.08,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_13,room_15,Bath 2,22,10,standing,0.45,0.0,-2.0,76.7,1.0,20.0,21.5,90.0,0.08,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_14,room_21,Bedroom 1,13,18,seated,0.55,0.0,-3.18,99.7,0.81,20.0,21.5,80.0,0.08,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_15,room_22,Bedroom 2,18,18,seated,0.55,0.0,-4.15,100.0,0.72,20.0,21.5,80.0,0.08,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_16,room_16,Bedroom 3,25,10,seated,0.55,0.0,-3.3,99.8,0.79,20.0,21.5,80.0,0.08,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_17,room_19,West Bedroom Hall,14,13,standing,0.55,0.0,-3.16,99.6,0.84,20.0,20.0,80.0,0.1,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_18,room_20,East Bedroom Hall,17,13,standing,0.55,0.0,-2.01,77.2,0.98,20.0,20.0,80.0,0.1,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_19,room_17,Laundry,5,11,standing,0.45,0.0,-2.25,86.6,0.96,20.0,21.5,90.0,0.08,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_20,room_18,Ensuite Bath,28,11,standing,0.45,0.0,-3.22,99.7,0.88,20.0,20.0,90.0,0.08,300.0,40.0,,,
young_mixed_t20p0_rh80,0.0,resident_21,room_23,Shared Bath,15,17,standing,0.45,0.0,-2.56,94.6,0.96,20.0,20.0,90.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_01,room_0,Living Room,12,5,seated,0.55,0.0,-3.83,100.0,0.73,22.0,22.0,35.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_02,room_1,Dining Room,20,5,seated,0.55,0.0,-4.16,100.0,0.7,22.0,22.0,35.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_03,room_2,Primary Bedroom,28,6,seated,0.55,0.0,-2.82,98.0,0.79,22.0,23.0,35.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_04,room_3,Kitchen,3,6,standing,0.45,0.0,-2.93,98.8,0.88,22.0,22.0,35.0,0.15,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_05,room_4,Breakfast Nook,7,5,seated,0.55,0.0,-3.08,99.4,0.8,22.0,22.0,35.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_06,room_5,Powder Room,15,5,standing,0.45,0.0,-1.89,71.4,0.98,22.0,22.0,35.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_07,room_6,Study,25,5,seated,0.55,0.0,-2.95,98.9,0.81,22.0,22.0,35.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_08,room_11,Family Lounge West,12,10,seated,0.55,0.0,-2.85,98.2,0.82,22.0,22.0,35.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_09,room_12,Family Lounge East,19,10,seated,0.55,0.0,-2.81,97.9,0.79,22.0,23.5,35.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_10,room_8,Entry Closet,2,8,standing,0.45,0.0,-1.95,74.4,0.98,22.0,22.0,35.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_11,room_9,Service Vestibule,3,11,standing,0.45,0.0,-1.78,66.2,0.96,22.0,23.5,35.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_12,room_14,Guest Room,8,10,seated,0.55,0.0,-2.63,95.8,0.8,22.0,23.5,35.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_13,room_15,Bath 2,22,10,standing,0.45,0.0,-1.47,49.3,1.0,22.0,23.5,45.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_14,room_21,Bedroom 1,13,18,seated,0.55,0.0,-2.57,94.9,0.81,22.0,23.5,35.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_15,room_22,Bedroom 2,18,18,seated,0.55,0.0,-3.45,99.9,0.72,22.0,23.5,35.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_16,room_16,Bedroom 3,25,10,seated,0.55,0.0,-2.69,96.6,0.79,22.0,23.5,35.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_17,room_19,West Bedroom Hall,14,13,standing,0.55,0.0,-2.59,95.2,0.84,22.0,22.0,35.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_18,room_20,East Bedroom Hall,17,13,standing,0.55,0.0,-1.55,53.5,0.98,22.0,22.0,35.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_19,room_17,Laundry,5,11,standing,0.45,0.0,-1.69,61.4,0.96,22.0,23.5,45.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_20,room_18,Ensuite Bath,28,11,standing,0.45,0.0,-2.6,95.4,0.88,22.0,22.0,45.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh35,0.0,resident_21,room_23,Shared Bath,15,17,standing,0.45,0.0,-2.0,77.0,0.96,22.0,22.0,45.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_01,room_0,Living Room,12,5,seated,0.55,0.0,-3.64,100.0,0.73,22.0,22.0,55.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_02,room_1,Dining Room,20,5,seated,0.55,0.0,-3.97,100.0,0.7,22.0,22.0,55.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_03,room_2,Primary Bedroom,28,6,seated,0.55,0.0,-2.65,96.0,0.79,22.0,23.0,55.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_04,room_3,Kitchen,3,6,standing,0.45,0.0,-2.77,97.5,0.88,22.0,22.0,55.0,0.15,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_05,room_4,Breakfast Nook,7,5,seated,0.55,0.0,-2.91,98.7,0.8,22.0,22.0,55.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_06,room_5,Powder Room,15,5,standing,0.45,0.0,-1.75,64.2,0.98,22.0,22.0,55.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_07,room_6,Study,25,5,seated,0.55,0.0,-2.78,97.6,0.81,22.0,22.0,55.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_08,room_11,Family Lounge West,12,10,seated,0.55,0.0,-2.68,96.5,0.82,22.0,22.0,55.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_09,room_12,Family Lounge East,19,10,seated,0.55,0.0,-2.64,95.9,0.79,22.0,23.5,55.0,0.12,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_10,room_8,Entry Closet,2,8,standing,0.45,0.0,-1.81,67.3,0.98,22.0,22.0,55.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_11,room_9,Service Vestibule,3,11,standing,0.45,0.0,-1.64,58.5,0.96,22.0,23.5,55.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_12,room_14,Guest Room,8,10,seated,0.55,0.0,-2.46,92.5,0.8,22.0,23.5,55.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_13,room_15,Bath 2,22,10,standing,0.45,0.0,-1.33,41.9,1.0,22.0,23.5,65.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_14,room_21,Bedroom 1,13,18,seated,0.55,0.0,-2.4,91.2,0.81,22.0,23.5,55.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_15,room_22,Bedroom 2,18,18,seated,0.55,0.0,-3.26,99.8,0.72,22.0,23.5,55.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_16,room_16,Bedroom 3,25,10,seated,0.55,0.0,-2.51,93.7,0.79,22.0,23.5,55.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_17,room_19,West Bedroom Hall,14,13,standing,0.55,0.0,-2.43,91.8,0.84,22.0,22.0,55.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_18,room_20,East Bedroom Hall,17,13,standing,0.55,0.0,-1.41,45.8,0.98,22.0,22.0,55.0,0.1,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_19,room_17,Laundry,5,11,standing,0.45,0.0,-1.55,53.6,0.96,22.0,23.5,65.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_20,room_18,Ensuite Bath,28,11,standing,0.45,0.0,-2.45,92.2,0.88,22.0,22.0,65.0,0.08,300.0,40.0,,,
young_mixed_t22p0_rh55,0.0,resident_21,room_23,Shared Bath,15,17,standing,0.45,0.0,-1.86,70.1,0.96,22.0,22.0,65.0,0.08,300.0,40.0,,,
